,overall_acc,bal_acc,avg_odds_diff,disp_imp,stat_par_diff,eq_opp_diff,theil_ind,protected_metrics_TPR,protected_metrics_TNR,protected_metrics_FPR,protected_metrics_FNR,protected_metrics_GTPR,protected_metrics_GTNR,protected_metrics_GFPR,protected_metrics_GFNR,protected_metrics_PPV,protected_metrics_NPV,protected_metrics_FDR,protected_metrics_FOR,protected_metrics_ACC,privileged_metrics_TPR,privileged_metrics_TNR,privileged_metrics_FPR,privileged_metrics_FNR,privileged_metrics_GTPR,privileged_metrics_GTNR,privileged_metrics_GFPR,privileged_metrics_GFNR,privileged_metrics_PPV,privileged_metrics_NPV,privileged_metrics_FDR,privileged_metrics_FOR,privileged_metrics_ACC,TPR,TNR,FPR,FNR,GTPR,GTNR,GFPR,GFNR,PPV,NPV,FDR,FOR,ACC,MCC,f1_score,privileged_demotion,privileged_promotion,protected_demotion,protected_promotion,method,dataset,solution_tf_history
0,0.74,0.6289656799150843,0.08627136752136749,0.9142228739002932,0.07335423197492164,0.12948717948717947,0.11218127463217327,0.8205128205128205,0.3125,0.6875,0.1794871794871795,1.0,1.0,0.0,0.0,0.7441860465116279,0.4166666666666667,0.2558139534883721,0.5833333333333334,0.6727272727272727,0.95,0.35555555555555557,0.6444444444444445,0.05,1.0,1.0,0.0,0.0,0.7661290322580645,0.7619047619047619,0.23387096774193547,0.23809523809523808,0.7655172413793103,0.9136690647482014,0.3442622950819672,0.6557377049180327,0.08633093525179857,1.0,1.0,0.0,0.0,0.7604790419161677,0.6363636363636364,0.23952095808383234,0.36363636363636365,0.74,0.3199346365233936,0.8300653594771241,0.0,0.0,0.0,0.0,ftl_mlp_initializer,german_dataset_reader,"{'loss': [0.9887172394328647, 0.7369123352898492, 0.640360834201177, 0.6352253357569376, 0.599426097340054, 0.5857237511210971, 0.5544446640544467, 0.558091402053833, 0.5565394772423639, 0.5394522971577115, 0.5164811942312453, 0.5091243505477905, 0.5099176367123922, 0.4820948772960239, 0.474148604604933, 0.47938107781940037, 0.4744432171185811, 0.44137229124704996, 0.4372011502583822, 0.45264346334669325, 0.4591196808550093], 'val_loss': [0.6766140699386597, 0.5756308078765869, 0.558227151632309, 0.5398685455322265, 0.5233673334121705, 0.5127899885177613, 0.5045182704925537, 0.4972108483314514, 0.4917728424072266, 0.48910669088363645, 0.4864226460456848, 0.48740015029907224, 0.48652244806289674, 0.48567657470703124, 0.4865655660629272, 0.48553558588027956, 0.4875060558319092, 0.48773511648178103, 0.4887945055961609, 0.4880816459655762, 0.48926258087158203]}"
1,0.765,0.6699492864724613,0.08362179487179489,1.0774703557312253,0.0614420062695924,0.013076923076923097,0.10872542755068108,0.9230769230769231,0.3125,0.6875,0.07692307692307693,1.0,1.0,0.0,0.0,0.7659574468085106,0.625,0.23404255319148937,0.375,0.7454545454545455,0.91,0.4666666666666667,0.5333333333333333,0.09,1.0,1.0,0.0,0.0,0.7913043478260869,0.7,0.20869565217391303,0.3,0.7724137931034483,0.9136690647482014,0.4262295081967213,0.5737704918032787,0.08633093525179857,1.0,1.0,0.0,0.0,0.7839506172839507,0.6842105263157895,0.21604938271604937,0.3157894736842105,0.765,0.39890763920714123,0.8438538205980067,0.0,0.0,0.0,0.05,ftl_mlp_initializer,german_dataset_reader,"{'loss': [0.6707722663879394, 0.6224670224719577, 0.5881280342737834, 0.6004899356100294, 0.5406911717520819, 0.5454666217168173, 0.5270701885223389, 0.5334802601072524, 0.5184654143121508, 0.4985910971959432, 0.4967438823646969, 0.46406956182585823, 0.4807994034555223, 0.48596422407362194, 0.46140190098020767, 0.47618143028683135], 'val_loss': [0.5579256296157837, 0.538102102279663, 0.5173604249954223, 0.5044129729270935, 0.49568140506744385, 0.48715848922729493, 0.47933154106140136, 0.47342517375946047, 0.47002577781677246, 0.4680492401123047, 0.46695493459701537, 0.4685203075408936, 0.47021851539611814, 0.4702289342880249, 0.4688876211643219, 0.4688200235366821]}"
2,0.795,0.7191296143413138,0.08813034188034191,1.003218020917136,0.0025078369905956466,0.05820512820512824,0.10368515804203254,0.8717948717948718,0.4375,0.5625,0.1282051282051282,1.0,1.0,0.0,0.0,0.7906976744186046,0.5833333333333334,0.20930232558139536,0.4166666666666667,0.7454545454545455,0.93,0.5555555555555556,0.4444444444444444,0.07,1.0,1.0,0.0,0.0,0.8230088495575221,0.78125,0.17699115044247787,0.21875,0.8137931034482758,0.9136690647482014,0.5245901639344263,0.47540983606557374,0.08633093525179857,1.0,1.0,0.0,0.0,0.8141025641025641,0.7272727272727273,0.1858974358974359,0.2727272727272727,0.795,0.48709620982508994,0.8610169491525423,0.0,0.0,0.0,0.1,ftl_mlp_initializer,german_dataset_reader,"{'loss': [0.6569961415396797, 0.6354816675186157, 0.6048933413293627, 0.5538407855563694, 0.5572813669840495, 0.5589836120605469, 0.5454664833015865, 0.5184359709421794, 0.5003770669301351, 0.498010516166687, 0.4911381396982405, 0.4867540882693397, 0.4890625966919793, 0.47208906941943696, 0.4443187793095907, 0.45953254964616563, 0.43841973808076645, 0.4624719222386678, 0.431694679790073, 0.4299529340532091], 'val_loss': [0.5338122844696045, 0.5150841116905213, 0.502321743965149, 0.49313809871673586, 0.48803136348724363, 0.4874840974807739, 0.4832177996635437, 0.48441359400749207, 0.4814905285835266, 0.4824185848236084, 0.4817719042301178, 0.4789951205253601, 0.47554081678390503, 0.4754357814788818, 0.4743794858455658, 0.4759030818939209, 0.4744273841381073, 0.4764477968215942, 0.4791041135787964, 0.48183072805404664]}"
3,0.745,0.6279632032079254,0.031698717948717925,0.9780058651026392,0.018808777429467183,0.04256410256410248,0.10195190193929728,0.8974358974358975,0.3125,0.6875,0.10256410256410256,1.0,1.0,0.0,0.0,0.7608695652173914,0.5555555555555556,0.2391304347826087,0.4444444444444444,0.7272727272727273,0.94,0.3333333333333333,0.6666666666666666,0.06,1.0,1.0,0.0,0.0,0.7580645161290323,0.7142857142857143,0.24193548387096775,0.2857142857142857,0.7517241379310344,0.9280575539568345,0.32786885245901637,0.6721311475409836,0.07194244604316546,1.0,1.0,0.0,0.0,0.7588235294117647,0.6666666666666666,0.2411764705882353,0.3333333333333333,0.745,0.3299911769237607,0.8349514563106797,0.0,0.0,0.0,0.15000000000000002,ftl_mlp_initializer,german_dataset_reader,"{'loss': [1.173260227839152, 0.7998112546073066, 0.6443551182746887, 0.6311906390719944, 0.6079224599732294, 0.6080161836412218, 0.5630339423815409, 0.5574812173843384, 0.5452354040410784, 0.535043493906657, 0.517693453364902, 0.5078178471989102, 0.5094056109587352, 0.48794740041097007, 0.481868095530404, 0.4891253431638082, 0.4670096927218967, 0.4794419288635254, 0.4703003353542752], 'val_loss': [0.8187942862510681, 0.6302242279052734, 0.597114771604538, 0.5906652688980103, 0.5780810832977294, 0.5656115531921386, 0.5554195642471313, 0.5512305855751037, 0.5436018586158753, 0.5423266530036926, 0.5428981065750123, 0.5377489328384399, 0.5304450750350952, 0.5277401447296143, 0.5284402310848236, 0.5307225584983826, 0.5298363208770752, 0.52939692735672, 0.5303072214126587]}"
4,0.745,0.614164406179974,0.08026709401709398,1.0171796707229779,0.015047021943573657,0.036923076923076836,0.08762833043094412,0.9230769230769231,0.1875,0.8125,0.07692307692307693,1.0,1.0,0.0,0.0,0.7346938775510204,0.5,0.2653061224489796,0.5,0.7090909090909091,0.96,0.3111111111111111,0.6888888888888889,0.04,1.0,1.0,0.0,0.0,0.7559055118110236,0.7777777777777778,0.2440944881889764,0.2222222222222222,0.7586206896551724,0.9496402877697842,0.2786885245901639,0.7213114754098361,0.050359712230215826,1.0,1.0,0.0,0.0,0.75,0.7083333333333334,0.25,0.2916666666666667,0.745,0.3234976130746195,0.8380952380952382,0.0,0.0,0.0,0.2,ftl_mlp_initializer,german_dataset_reader,"{'loss': [0.8266522354549832, 0.6705611573325263, 0.6178306288189358, 0.6144812385241191, 0.567663221889072, 0.5667144192589654, 0.5607428186469607, 0.5284913804796006, 0.5206064158015781, 0.5277509371439616, 0.4929526368776957, 0.503992411825392, 0.48691727187898426, 0.48372250927819144, 0.45912884142663746], 'val_loss': [0.6348624706268311, 0.5896226167678833, 0.5669912934303284, 0.5490516781806946, 0.533325481414795, 0.5240327537059783, 0.5167179465293884, 0.5115450620651245, 0.505575442314148, 0.5028168439865113, 0.5052406907081604, 0.5056304275989533, 0.5030201435089111, 0.5038597583770752, 0.5048097848892212]}"
5,0.765,0.6699492864724613,0.228525641025641,1.2113022113022114,0.16175548589341693,0.048717948717948656,0.10872542755068108,0.9487179487179487,0.125,0.875,0.05128205128205128,1.0,1.0,0.0,0.0,0.7254901960784313,0.5,0.27450980392156865,0.5,0.7090909090909091,0.9,0.5333333333333333,0.4666666666666667,0.1,1.0,1.0,0.0,0.0,0.8108108108108109,0.7058823529411765,0.1891891891891892,0.29411764705882354,0.7862068965517242,0.9136690647482014,0.4262295081967213,0.5737704918032787,0.08633093525179857,1.0,1.0,0.0,0.0,0.7839506172839507,0.6842105263157895,0.21604938271604937,0.3157894736842105,0.765,0.39890763920714123,0.8438538205980067,0.0,0.0,0.0,0.25,ftl_mlp_initializer,german_dataset_reader,"{'loss': [0.7994259622361924, 0.6763691001468235, 0.6291523191663954, 0.6021995080841912, 0.6066656986872355, 0.5906503650877211, 0.5625850995381673, 0.5533392641279432, 0.5491803632842169, 0.5349052376217313, 0.5268688201904297, 0.5173619416024949, 0.5079865588082207, 0.49212629199028013, 0.48816605276531644, 0.47951261666085987, 0.47617915802531774, 0.4648680713441637, 0.4623394701215956, 0.45447118017408583, 0.4462688207626343, 0.4589904500378503, 0.43886153565512764, 0.4457725644111633], 'val_loss': [0.7078938841819763, 0.6567967057228088, 0.6340162754058838, 0.6149761319160462, 0.5972102880477905, 0.5843691825866699, 0.5762048363685608, 0.5655414223670959, 0.5554059863090515, 0.5464948415756226, 0.5365220069885254, 0.5287480831146241, 0.5244283437728882, 0.5232207536697387, 0.5222686648368835, 0.5204137444496155, 0.5209908604621887, 0.5240628480911255, 0.5163994908332825, 0.5175283253192902, 0.5231711983680725, 0.5245529770851135, 0.5284384667873383, 0.5317583203315734]}"
6,0.785,0.6797381766717774,0.12551282051282053,1.1171032357473036,0.09529780564263324,0.03435897435897439,0.08252810098644363,0.9743589743589743,0.25,0.75,0.02564102564102564,1.0,1.0,0.0,0.0,0.76,0.8,0.24,0.2,0.7636363636363637,0.94,0.4666666666666667,0.5333333333333333,0.06,1.0,1.0,0.0,0.0,0.7966101694915254,0.7777777777777778,0.2033898305084746,0.2222222222222222,0.7931034482758621,0.9496402877697842,0.4098360655737705,0.5901639344262295,0.050359712230215826,1.0,1.0,0.0,0.0,0.7857142857142857,0.78125,0.21428571428571427,0.21875,0.785,0.4514534903006119,0.8599348534201955,0.0,0.0,0.0,0.30000000000000004,ftl_mlp_initializer,german_dataset_reader,"{'loss': [0.7054147349463569, 0.6414512448840671, 0.6212829192479451, 0.6042505396736992, 0.5974171890152825, 0.574349930551317, 0.5586415502760146, 0.5447809629970126, 0.5201709429423015, 0.5373050186369154, 0.520344873269399, 0.5074366880787744, 0.4933144138918983, 0.4931641366746691, 0.482767559422387, 0.4748611423704359, 0.47223754458957246, 0.4638859126302931, 0.47438176208072236, 0.4457924471961127, 0.47800363699595133, 0.46884153419070773, 0.4396346516079373, 0.454076976246304, 0.4343413531780243], 'val_loss': [0.6178828597068786, 0.5939142763614654, 0.5731720685958862, 0.555201506614685, 0.5419111609458923, 0.5322741508483887, 0.5251764178276062, 0.5168844223022461, 0.5116566300392151, 0.503266966342926, 0.4988408923149109, 0.495980966091156, 0.49526201486587523, 0.4955558657646179, 0.49904494285583495, 0.49753783345222474, 0.49506527185440063, 0.4953714907169342, 0.49638394117355344, 0.49397355914115904, 0.49906991720199584, 0.4984940528869629, 0.5000091791152954, 0.5064140677452087, 0.508853816986084]}"
7,0.74,0.6197664818964501,0.17221153846153847,1.1204545454545454,0.09968652037617554,0.006923076923076921,0.10254707749825875,0.9230769230769231,0.0625,0.9375,0.07692307692307693,1.0,1.0,0.0,0.0,0.7058823529411765,0.25,0.29411764705882354,0.75,0.6727272727272727,0.93,0.4,0.6,0.07,1.0,1.0,0.0,0.0,0.775,0.72,0.225,0.28,0.7655172413793103,0.9280575539568345,0.3114754098360656,0.6885245901639344,0.07194244604316546,1.0,1.0,0.0,0.0,0.7543859649122807,0.6551724137931034,0.24561403508771928,0.3448275862068966,0.74,0.3132135570142449,0.832258064516129,0.0,0.0,0.0,0.35000000000000003,ftl_mlp_initializer,german_dataset_reader,"{'loss': [0.8217076937357585, 0.6971498621834649, 0.6591703414916992, 0.6222142563925849, 0.6096298595269521, 0.587759280204773, 0.5692067358228895, 0.5623041364881728, 0.5622665378782484, 0.5265675187110901, 0.5225827819771237, 0.5094690746731229, 0.4953594062063429, 0.5046852707862854, 0.4928753799862332, 0.48767935633659365, 0.4926824278301663, 0.48308942317962644, 0.4819132341278924, 0.47812709940804377, 0.46994905206892224, 0.45826776689953275, 0.44566110107633805, 0.4458297497696347, 0.44514112141397266], 'val_loss': [0.6613330364227294, 0.622224748134613, 0.603993034362793, 0.5860100507736206, 0.57260462641716, 0.5618908047676087, 0.5561585307121277, 0.552292138338089, 0.5509031057357788, 0.544367504119873, 0.5423311948776245, 0.5422184646129609, 0.5413851737976074, 0.5412982702255249, 0.5373531997203826, 0.5397152185440064, 0.5392607271671295, 0.5350319862365722, 0.5349344491958619, 0.5338290810585022, 0.5362336874008179, 0.5362912654876709, 0.5377678394317627, 0.5435237169265748, 0.5479076385498047]}"
8,0.75,0.6223611274914495,0.09009615384615388,1.0843108504398826,0.07210031347962376,0.03435897435897439,0.0870730934213898,0.9743589743589743,0.1875,0.8125,0.02564102564102564,1.0,1.0,0.0,0.0,0.7450980392156863,0.75,0.2549019607843137,0.25,0.7454545454545455,0.94,0.3333333333333333,0.6666666666666666,0.06,1.0,1.0,0.0,0.0,0.7580645161290323,0.7142857142857143,0.24193548387096775,0.2857142857142857,0.7517241379310344,0.9496402877697842,0.29508196721311475,0.7049180327868853,0.050359712230215826,1.0,1.0,0.0,0.0,0.7542857142857143,0.72,0.24571428571428572,0.28,0.75,0.3406879356627923,0.8407643312101911,0.0,0.0,0.0,0.4,ftl_mlp_initializer,german_dataset_reader,"{'loss': [0.7606253888871934, 0.6775406705008613, 0.6425931798087225, 0.6251733673943414, 0.6076635970009698, 0.6091013113657634, 0.5715288956960042, 0.5620405303107368, 0.5477565844853719, 0.545134969552358, 0.5458528200785319, 0.5300732546382481, 0.509954297542572, 0.5246194097730849, 0.503269616762797, 0.5063276423348321, 0.48700022167629664, 0.4806120091014438, 0.47167799009217154], 'val_loss': [0.6718412041664124, 0.6285369634628296, 0.6081714749336242, 0.5942136287689209, 0.5815521001815795, 0.5691426515579223, 0.5613135695457458, 0.5534042358398438, 0.5459383726119995, 0.5417333126068116, 0.5383898138999939, 0.534541130065918, 0.5308690905570984, 0.5289574384689331, 0.5289632499217987, 0.5312533378601074, 0.5318275094032288, 0.5313005447387695, 0.5312504410743714]}"
9,0.755,0.6121594527656563,0.1816666666666667,1.141732283464567,0.12413793103448278,0.030000000000000027,0.06768201625899005,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.7090909090909091,0.0,0.2909090909090909,0.0,0.7090909090909091,0.97,0.3333333333333333,0.6666666666666666,0.03,1.0,1.0,0.0,0.0,0.7637795275590551,0.8333333333333334,0.23622047244094488,0.16666666666666666,0.7724137931034483,0.9784172661870504,0.2459016393442623,0.7540983606557377,0.02158273381294964,1.0,1.0,0.0,0.0,0.7472527472527473,0.8333333333333334,0.25274725274725274,0.16666666666666666,0.755,0.3608828537957769,0.8473520249221183,0.0,0.0,0.0,0.45,ftl_mlp_initializer,german_dataset_reader,"{'loss': [0.8130634625752767, 0.6859484063254462, 0.6465873532825046, 0.6288261691729228, 0.6089061816533407, 0.616369722949134, 0.5739224884245131, 0.5640609396828545, 0.5645569456948174, 0.5570926586786906, 0.5175935904184977, 0.5330087039205763, 0.504941115114424, 0.5139186931980981, 0.5076608300209046], 'val_loss': [0.6510179162025451, 0.5979601383209229, 0.5857301831245423, 0.5761923551559448, 0.5677815318107605, 0.5603249907493592, 0.5550661683082581, 0.5528956651687622, 0.5508371353149414, 0.5479274749755859, 0.5479370832443238, 0.5489090085029602, 0.5499685645103455, 0.5503414630889892, 0.5519573211669921]}"
